,city,latitude,temp,humidity (%),cloudiness (%),wind speed (mph)
0,new+norfolk,-42.78,53.6,54,75,17.22
1,ushuaia,-54.81,34.81,86,40,3.85
2,dunedin,-45.87,36.56,85,80,3.96
3,airai,-8.93,61.04,85,0,1.72
4,punta+arenas,-53.16,34.77,100,90,5.82
5,arman,59.7,55.4,93,90,11.18
6,port+alfred,-33.59,56.54,93,56,24.54
7,palampur,32.11,45.56,97,92,0.72
8,ferrol,43.48,65.21,82,75,5.82
9,tuktoyaktuk,69.44,50.0,76,75,13.87
10,prabumulih,-3.5,80.03,65,76,5.97
11,cape+town,-33.93,44.6,87,20,2.24
12,jamestown,-33.21,47.09,83,76,17.27
13,rikitea,-23.12,73.73,100,8,3.62
14,babanka,48.71,68.6,67,0,7.43
15,atuona,-9.8,76.16,100,76,17.05
16,vardo,39.62,84.99,74,20,9.17
17,ribeira+grande,38.52,77.0,65,75,3.36
18,busselton,-33.64,61.13,98,32,19.84
19,kidal,18.44,95.96,32,32,7.43
20,barrow,-38.31,66.08,53,92,15.93
21,coihaique,-45.58,44.6,66,20,25.28
22,lebu,8.96,51.5,90,68,2.17
23,marsa+matruh,31.35,80.6,78,20,8.05
24,xining,36.62,56.18,96,88,2.84
25,kruisfontein,-34.0,55.82,82,48,20.4
26,marawi,8.0,68.33,95,68,3.4
27,kavieng,-2.57,79.76,100,64,6.42
28,namibe,-15.19,65.0,100,0,5.64
29,kita,35.76,72.5,94,90,11.41
30,karratha,-20.74,42.59,74,0,2.62
31,yellowknife,62.45,60.8,67,75,11.41
32,ballina,54.11,57.2,76,40,10.29
33,hilo,19.71,74.7,74,90,3.36
34,lagoa,37.14,93.2,23,0,13.87
35,lata,30.78,59.87,100,64,1.72
36,qasigiannguit,68.82,59.0,54,75,14.99
37,san+patricio,-26.98,76.97,54,0,7.76
38,florianopolis,-27.6,69.8,37,0,9.17
39,bluff,-23.58,41.24,64,0,3.96
40,butaritari,3.07,80.66,100,64,8.55
